,photo_name,value,location,num_coords,img_size,width,height,pixel_coords
0,id_53_value_595_825.jpg,595.825,"[{'x': 0.30788, 'y': 0.30207}, {'x': 0.30676, 'y': 0.32731}, {'x': 0.53501, 'y': 0.33068}, {'x': 0.53445, 'y': 0.33699}, {'x': 0.56529, 'y': 0.33741}, {'x': 0.56697, 'y': 0.29786}, {'x': 0.53501, 'y': 0.29786}, {'x': 0.53445, 'y': 0.30417}]",8,"(1000, 1333)",1000,1333,"[{'x': 307, 'y': 402}, {'x': 306, 'y': 436}, {'x': 535, 'y': 440}, {'x': 534, 'y': 449}, {'x': 565, 'y': 449}, {'x': 566, 'y': 397}, {'x': 535, 'y': 397}, {'x': 534, 'y': 405}]"
1,id_553_value_65_475.jpg,65.475,"[{'x': 0.26133, 'y': 0.24071}, {'x': 0.31405, 'y': 0.23473}, {'x': 0.31741, 'y': 0.26688}, {'x': 0.30676, 'y': 0.26763}, {'x': 0.33985, 'y': 0.60851}, {'x': 0.29386, 'y': 0.61449}]",6,"(1333, 1000)",1333,1000,"[{'x': 348, 'y': 240}, {'x': 418, 'y': 234}, {'x': 423, 'y': 266}, {'x': 408, 'y': 267}, {'x': 453, 'y': 608}, {'x': 391, 'y': 614}]"
2,id_407_value_21_86.jpg,21.86,"[{'x': 0.27545, 'y': 0.19134}, {'x': 0.37483, 'y': 0.18282}, {'x': 0.38935, 'y': 0.76071}, {'x': 0.28185, 'y': 0.76613}]",4,"(1333, 1000)",1333,1000,"[{'x': 367, 'y': 191}, {'x': 499, 'y': 182}, {'x': 519, 'y': 760}, {'x': 375, 'y': 766}]"
3,id_252_value_313_322.jpg,313.322,"[{'x': 0.21967, 'y': 0.50845}, {'x': 0.70811, 'y': 0.53256}, {'x': 0.70008, 'y': 0.61295}, {'x': 0.21699, 'y': 0.58883}]",4,"(1000, 1333)",1000,1333,"[{'x': 219, 'y': 677}, {'x': 708, 'y': 709}, {'x': 700, 'y': 817}, {'x': 216, 'y': 784}]"
4,id_851_value_305_162.jpg,305.162,"[{'x': 0.06983, 'y': 0.43491}, {'x': 0.34763, 'y': 0.42285}, {'x': 0.34663, 'y': 0.41795}, {'x': 0.36622, 'y': 0.41607}, {'x': 0.37125, 'y': 0.4628}, {'x': 0.34964, 'y': 0.46506}, {'x': 0.34814, 'y': 0.45941}, {'x': 0.07234, 'y': 0.46996}]",8,"(1000, 1333)",1000,1333,"[{'x': 69, 'y': 579}, {'x': 347, 'y': 563}, {'x': 346, 'y': 557}, {'x': 366, 'y': 554}, {'x': 371, 'y': 616}, {'x': 349, 'y': 619}, {'x': 348, 'y': 612}, {'x': 72, 'y': 626}]"
5,id_398_value_8_898.jpg,8.898,"[{'x': 0.60781, 'y': 0.22024}, {'x': 0.53513, 'y': 0.2352}, {'x': 0.64914, 'y': 0.59389}, {'x': 0.63061, 'y': 0.59656}, {'x': 0.63987, 'y': 0.62863}, {'x': 0.73464, 'y': 0.61473}]",6,"(1000, 1333)",1000,1333,"[{'x': 607, 'y': 293}, {'x': 535, 'y': 313}, {'x': 649, 'y': 791}, {'x': 630, 'y': 795}, {'x': 639, 'y': 837}, {'x': 734, 'y': 819}]"
6,id_1204_value_78_677.jpg,78.677,"[{'x': 0.26854, 'y': 0.38812}, {'x': 0.56977, 'y': 0.33109}, {'x': 0.57225, 'y': 0.41451}, {'x': 0.27392, 'y': 0.47409}]",4,"(2057, 1000)",2057,1000,"[{'x': 552, 'y': 388}, {'x': 1172, 'y': 331}, {'x': 1177, 'y': 414}, {'x': 563, 'y': 474}]"
7,id_83_value_1336_114.jpg,1336.114,"[{'x': 0.31447, 'y': 0.32593}, {'x': 0.66494, 'y': 0.39981}, {'x': 0.67032, 'y': 0.39515}, {'x': 0.68645, 'y': 0.39826}, {'x': 0.66701, 'y': 0.45227}, {'x': 0.64839, 'y': 0.44823}, {'x': 0.6517, 'y': 0.43923}, {'x': 0.30082, 'y': 0.36411}]",8,"(1000, 1333)",1000,1333,"[{'x': 314, 'y': 434}, {'x': 664, 'y': 532}, {'x': 670, 'y': 526}, {'x': 686, 'y': 530}, {'x': 667, 'y': 602}, {'x': 648, 'y': 597}, {'x': 651, 'y': 585}, {'x': 300, 'y': 485}]"
8,id_1061_value_572_883.jpg,572.883,"[{'x': 0.14358, 'y': 0.36504}, {'x': 0.68687, 'y': 0.35852}, {'x': 0.68645, 'y': 0.43085}, {'x': 0.64301, 'y': 0.43178}, {'x': 0.64259, 'y': 0.41688}, {'x': 0.14648, 'y': 0.42402}]",6,"(1000, 1333)",1000,1333,"[{'x': 143, 'y': 486}, {'x': 686, 'y': 477}, {'x': 686, 'y': 574}, {'x': 643, 'y': 575}, {'x': 642, 'y': 555}, {'x': 146, 'y': 565}]"
9,id_71_value_90_216.jpg,90.216,"[{'x': 0.30247, 'y': 0.43116}, {'x': 0.61239, 'y': 0.43644}, {'x': 0.61073, 'y': 0.48517}, {'x': 0.58342, 'y': 0.48455}, {'x': 0.5826, 'y': 0.47369}, {'x': 0.29957, 'y': 0.46934}]",6,"(1000, 1333)",1000,1333,"[{'x': 302, 'y': 574}, {'x': 612, 'y': 581}, {'x': 610, 'y': 646}, {'x': 583, 'y': 645}, {'x': 582, 'y': 631}, {'x': 299, 'y': 625}]"
